,productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g,our_score
279,Confiture framboise pétales de rose,11,d,967,0.1,53.0,0.0,0.9,0.0,12.4
280,Qrex - Frosted Flakes,16,d,1573,0.4,35.0,0.0,5.0,0.5,12.4
281,Pétales riz & blé complet aux copeaux de chocolat,11,d,1732,4.2,21.0,5.8,7.9,0.28,13.6
282,Spécialité gourmande pétale de rose,11,d,1000,0.0,52.7,0.0,0.012,0.0116,12.4
283,Petales de jambon cru,16,d,916,4.9,0.5,0.0,24.4,1.96,8.4
284,Barres céréales pétales chocolatées talon lait,17,d,1760,8.8,32.9,4.0,6.8,0.12,9.4
285,Pétales goût Salé,15,d,2029,2.1,1.0,3.5,3.5,0.96,13.4
286,Pétales Salés,14,d,1992,2.2,1.0,3.5,3.5,0.96,13.4
287,Flakes maïs,11,d,1582,0.2,27.0,3.5,5.7,0.52,13.6
288,Chocapic Coeur fondant - Maxi format,11,d,1728,4.0,30.0,5.6,8.2,0.208,14.6
289,Pétales goût salé,13,d,2062,2.0,0.5,4.5,4.3,0.97536,12.1
290,Pétales salés,16,d,1909,1.6,0.5,0.0,3.6,1.592,11.5
291,Déliform Chocolat Poire,12,d,1684,4.0,34.8,4.6,7.3,0.136,13.2
