productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g
Corn Flakes,10,c,1597,0.6,8.5,3.3,7.9,0.76
Corn Flakes,9,c,1509,0.1,6.5,3.9,6.5,0.76
Spécial K feuilles de chocolat noir,8,c,1586,3,21,5.1,8.4,0.32
Fitness Chocolat Au Lait,10,c,1669,4.3,20,7,8.5,0.32
Fitness Chocolat Noir,10,c,1687,4.5,17,7.9,8.9,0.3
Pétales de Blé goût chocolat,10,c,1590,1.3,31.3,5.3,8.1,0.3
Paddy Pétales de blé complets,9,c,1605,1.5,36,8,8,0.22
American Style Chicken Strips with Curry Dip,4,c,776,0.5,7.3,0,14,0.56
"Super flakes copeaux de chocolat noir, riz et épautre complet",6,c,1724,4.4,12,6,11,0.008
Berries & Cherries Flakes,7,c,1566,0.3,14.5,3.8,12.8,0.372
Spécial K Barres Croustillantes fruits rouges,10,c,1630,4.9,27,9.9,6,0.232
Petales riz & ble complet aux fruits rouges,8,c,1626,0.4,19,4.2,9.2,0.412
Pétales choco,7,c,1611,1.6,29,4,8,0.04
Pétales choco,7,c,1628,1.4,27.2,6.5,8.1,0.128
Pétales de blé complet et riz,6,c,1552,0.2,16,6,8.4,0.4
Flakes Fruit & Fibre,8,c,1602,3.4,21.6,12.1,9.8,0.2
Pétales De Riz Et Blé Complet Aux Fruits Rouges,8,c,1582,0.3,21.8,4,8.7,0.392
Pétales de blé au chocolat,6,c,1598,0.7,30,5.8,8.6,0.14
Confiture d'abricot Pétales de Rose,8,c,1008,0.1,57.5,0,0.6,0.012
Corn Flakes,8,c,1552,0.3,6,3,8,0.6
"Deliform chocolat au lait - Pétales de riz, blé complet",9,c,1680,3.3,22,6,7.5,0.26
"Deliform chocolat noir Pétales de riz, blé complet",9,c,1693,3.8,21,7.1,7.5,0.232
Pétales de blé au chocolat,7,c,1632,1.7,30,7,9,0.12
petales croustillants saveur oignon,10,c,1660,1.1,4,18,45,1.07
Pétales de blé goût Chocolat (maxi pack),7,c,1628,1.1,28,6.8,9.3,0.108
Mix Muesli & Flakes Chocolat Noisette,9,c,1902,4.6,16,6.9,9.5,0.26
Pétales Epeautre complet et riz au chocolat,8,c,1720,4.9,9,5.5,10,0.34
Stylesse Chocolat Noir,9,c,1697,3.9,22,6.3,7.4,0.248
Stylesse chocolat noir,9,c,1697,3.9,22,6.3,7.4,0.248
Petales De Riz Ble Complet Chocolat,8,c,1653,3.8,22,6.3,7.4,0.252
Stylesses chocolat noir,8,c,1668,3.8,22,6.3,7.4,0.252
